R_fighter,B_fighter,date,Winner,title_bout,weight_class,no_of_rounds,B_avg_BODY_landed,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SUB_ATT,B_avg_TD_landed,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,R_avg_BODY_landed,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SUB_ATT,R_avg_TD_landed,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age
Justin Scoggins,Dustin Ortiz,7/6/2014,Blue,FALSE,Flyweight,3,16.33333333,21.33333333,0,7.666666667,4.666666667,0.333333333,0,2.666666667,1,0,0,1,0,1,0,0,Orthodox,165.1,165.1,4.5,36,0,3.5,9,0,0,4,0,0,0,0,1,1,0,0,Southpaw,170.18,167.64,25,22
Jesse Ronson,Kevin Lee,7/6/2014,Blue,FALSE,Lightweight,3,6,32,0,1,1,0,2,1,1,0,0,0,0,0,0,0,Orthodox,175.26,195.58,14,18,0,13.5,0.5,0,0,0.5,2,0,0,0,0,0,0,0,Southpaw,177.8,182.88,21,28
Jumabieke Tuerxun,Leandro Issa,7/6/2014,Blue,FALSE,Bantamweight,3,1,12,0,4,2,0,1,2,1,0,0,0,0,0,0,0,Orthodox,170.18,175.26,4,6,0,2,0,0,2,1,1,0,0,0,0,0,0,0,Orthodox,170.18,170.18,30,28
Adriano Martins,Juan Puig,7/6/2014,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,1.5,11,0,2,1.5,0,0.5,0.5,1,0,0,0,0,0,1,0,Southpaw,177.8,182.88,25,31
Patrick Walsh,Daniel Spohn,7/6/2014,Red,FALSE,Light Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,193.04,200.66,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,?,180.34,180.34,29,25
Sarah Moras,Alexis Dufresne,7/6/2014,Red,FALSE,Catch Weight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,?,170.18,170.18,23,26
Robert Drysdale,Keith Berish,7/6/2014,Draw,FALSE,Light Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,28,32
Chris Weidman,Lyoto Machida,7/5/2014,Red,TRUE,Middleweight,5,8.117647059,16.23529412,0.705882353,6.588235294,2.352941176,0.117647059,0.470588235,0.823529412,4,4,0,1,6,5,1,0,Southpaw,185.42,187.96,2.285714286,20.42857143,0.428571429,2.571428571,2.571428571,0,1,2.142857143,0,2,0,0,2,3,2,0,Orthodox,187.96,198.12,36,30
Ronda Rousey,Alexis Davis,7/5/2014,Red,TRUE,Women Bantamweight,5,7,26.66666667,0,15.33333333,1.666666667,0.666666667,1,1,0,0,0,1,2,0,0,0,Orthodox,167.64,172.72,5.333333333,11.33333333,0.333333333,3.666666667,2,0,1.333333333,2.333333333,0,3,0,0,0,1,2,0,Orthodox,170.18,172.72,29,27
Uriah Hall,Thiago Santos,7/5/2014,Red,FALSE,Middleweight,3,0.5,3,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,Orthodox,187.96,193.04,8.333333333,18.33333333,0.333333333,8.333333333,0.333333333,1,0,1.333333333,2,1,0,0,0,0,0,1,Orthodox,182.88,200.66,30,29
Marcus Brimage,Russell Doane,7/5/2014,Blue,FALSE,Bantamweight,3,3,38,0,2,3,1,1,0,0,0,0,0,0,0,1,0,Orthodox,170.18,177.8,16.5,33.75,0.25,8.5,0,0,0,0.25,1,0,0,1,2,0,0,0,Southpaw,162.56,180.34,27,29
Urijah Faber,Alex Caceres,7/5/2014,Red,FALSE,Bantamweight,3,11.11111111,31,0.111111111,6.111111111,1.555555556,0.888888889,1.333333333,0.222222222,4,0,0,2,1,0,2,0,Southpaw,177.8,185.42,9,31.66666667,0.222222222,3.333333333,1,0.222222222,0.666666667,1.444444444,3,3,0,0,2,0,4,0,Orthodox,167.64,170.18,26,35
Kenny Robertson,Ildemar Alcantara,7/5/2014,Red,FALSE,Welterweight,3,10.25,17.25,0,3.75,2,0,1.5,3,1,0,0,1,1,0,1,0,Orthodox,187.96,198.12,6.2,15.2,0,3.4,1.6,0,0.6,0.6,3,0,0,0,0,0,2,0,Orthodox,177.8,187.96,31,30
Chris Camozzi,Bruno Santos,7/5/2014,Blue,FALSE,Middleweight,3,4,3,0,5,4,0,1,1,1,0,0,0,0,0,0,0,Orthodox,175.26,175.26,8.7,23.9,0,14.3,0.1,0.1,0.3,0,4,0,0,2,2,0,1,1,Orthodox,187.96,193.04,26,27
George Roop,Rob Font,7/5/2014,Blue,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,9.090909091,24.18181818,0.181818182,4.363636364,0.272727273,0.090909091,0.090909091,0.727272727,6,0,0,1,2,2,0,0,Orthodox,185.42,182.88,27,32
Luke Zachrich,Guilherme Vasconcelos,7/5/2014,Red,FALSE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,187.96,28,32
Kevin Casey,Bubba Bush,7/5/2014,Draw,FALSE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,5,9,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Southpaw,180.34,195.58,28,33
Cub Swanson,Jeremy Stephens,6/28/2014,Red,FALSE,Featherweight,5,6.277777778,18.33333333,0.444444444,6.222222222,0.444444444,0.388888889,0.5,1.388888889,8,0,0,1,4,4,0,1,Orthodox,172.72,180.34,5.333333333,25.16666667,0.666666667,5.333333333,0.833333333,0,0.166666667,1,1,0,0,0,1,4,0,0,Orthodox,172.72,177.8,28,30
Kelvin Gastelum,Nico Musoke,6/28/2014,Red,FALSE,Welterweight,3,3,22.5,0,3,1,0,0.5,1.5,0,0,0,0,1,0,1,0,Orthodox,182.88,190.5,6.666666667,20.66666667,0.333333333,7.333333333,3,0.333333333,0.333333333,1.666666667,0,1,0,2,0,0,1,0,Southpaw,175.26,180.34,28,22
Cezar Ferreira,Andrew Craig,6/28/2014,Red,FALSE,Middleweight,3,4.8,23.6,0.2,5.4,1.4,0.4,0,0.6,2,0,0,1,1,1,0,0,Orthodox,185.42,193.04,4.25,10.75,0.5,0.75,1.25,0,0.25,0.75,1,1,0,1,1,0,1,0,Southpaw,185.42,198.12,28,29
Ricardo Lamas,Hacran Dias,6/28/2014,Red,FALSE,Featherweight,3,1.5,22,0,6,3,0,0.5,3,1,0,0,0,1,0,0,0,Orthodox,172.72,175.26,6.6,12.2,0.2,8,0.4,0.2,1,1.2,1,1,0,0,1,2,1,0,Orthodox,172.72,180.34,30,32
Clint Hester,Antonio Braga Neto,6/28/2014,Red,FALSE,Middleweight,3,0,5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,190.5,195.58,8,40,1,7,1.666666667,0,0,1,0,0,0,0,1,1,0,1,Orthodox,187.96,195.58,26,27
Joe Ellenberger,James Moontasri,6/28/2014,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,177.8,180.34,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,26,29
Colton Smith,Diego Ferreira,6/28/2014,Blue,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,3.333333333,7,0.333333333,7,2,0,1,3,2,1,0,0,1,0,0,0,Orthodox,182.88,180.34,29,26
Johnny Bedford,Cody Gibson,6/28/2014,Blue,FALSE,Bantamweight,3,8,9,0,1,0,0,1,4,1,0,0,0,0,0,0,0,Orthodox,177.8,180.34,12.25,27.75,0.75,2.5,2.75,0.25,0,1.25,2,0,0,0,0,2,0,0,Orthodox,177.8,180.34,26,31
Marcelo Guimaraes,Andy Enz,6/28/2014,Red,FALSE,Middleweight,3,17,45,0,7,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,190.5,198.12,8.5,16,0,30.5,0.5,0,0,1,1,0,0,1,0,0,0,0,Orthodox,182.88,185.42,22,31
Ray Borg,Shane Howell,6/28/2014,Red,FALSE,Flyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,3,9,0,0,1,1,2,5,1,0,0,0,0,0,0,0,Orthodox,162.56,160.02,30,20
Aleksei Oleinik,Anthony Hamilton,6/28/2014,Red,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,195.58,193.04,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,187.96,203.2,34,37
James Te Huna,Nate Marquardt,6/28/2014,Blue,FALSE,Middleweight,5,3.6875,16.5625,0.5,4.875,1.25,0.1875,0.8125,1.6875,6,1,0,0,4,4,2,0,Orthodox,182.88,187.96,4.375,20.625,0.25,4.375,1.125,0,0.125,1.375,3,0,0,0,2,3,0,0,Orthodox,187.96,190.5,35,32
Soa Palelei,Jared Rosholt,6/28/2014,Blue,FALSE,Heavyweight,3,11.5,20,0,2,4,0,0,2,0,0,0,0,2,0,0,0,Orthodox,187.96,190.5,3,11.75,0,2,2.25,0,0,1.75,1,0,0,0,0,3,0,0,Orthodox,193.04,205.74,27,36
Hatsu Hioki,Charles Oliveira,6/28/2014,Blue,FALSE,Featherweight,3,5,10.5,0.1,4.4,0.8,0.2,1.2,0.9,5,0,0,0,0,0,5,0,Orthodox,177.8,187.96,11.66666667,20.33333333,0,2.833333333,3.5,0.333333333,0.833333333,2.166666667,3,0,0,1,2,0,0,0,Orthodox,180.34,177.8,24,30
Robert Whittaker,Mike Rhodes,6/28/2014,Red,FALSE,Welterweight,3,9,26,0,16,0,0,1,2,1,0,0,0,0,0,0,0,Orthodox,185.42,187.96,3.75,45.5,0.75,1.5,0,0,0,0.25,2,1,0,0,1,1,0,0,Orthodox,182.88,185.42,24,23
Jake Matthews,Dashon Johnson,6/28/2014,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,26,19
Richie Vaculik,Roldan Sangcha-an,6/28/2014,Red,FALSE,Flyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64,175.26,23,31
Chris Indich,Vik Grujic,6/28/2014,Blue,FALSE,Welterweight,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42,1,3,0,8,0,0,2,0,1,0,0,0,0,0,0,0,?,177.8,185.42,37,27
Neil Magny,Rodrigo de Lima,6/28/2014,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,170.18,190.5,9.8,24,0,6.8,2.2,0.2,0,2.2,2,0,0,0,3,0,0,0,Orthodox,190.5,203.2,23,26
Dan Hooker,Ian Entwistle,6/28/2014,Red,FALSE,Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,182.88,190.5,27,24
Gian Villante,Sean OConnell,6/28/2014,Red,FALSE,Light Heavyweight,3,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,187.96,3,17,0.333333333,14.66666667,1.333333333,0,0,1.333333333,2,0,0,0,0,1,0,0,Orthodox,190.5,193.04,30,28
Demetrious Johnson,Ali Bagautinov,6/14/2014,Red,TRUE,Flyweight,5,9.666666667,31,0.666666667,2.666666667,1.666666667,0,0.666666667,3.333333333,0,0,0,0,2,1,0,0,Orthodox,162.56,165.1,19.88888889,26.44444444,0.222222222,15.55555556,2.444444444,0.222222222,0.333333333,4.444444444,2,5,0,1,4,1,1,0,Orthodox,160.02,167.64,29,27
Rory MacDonald,Tyron Woodley,6/14/2014,Red,FALSE,Welterweight,3,12,13,1,2.75,0,0,0,0.75,1,0,0,0,0,3,0,0,Orthodox,175.26,187.96,8.666666667,35,0,3.444444444,1.444444444,0.111111111,0.555555556,2.111111111,2,0,0,0,4,2,1,0,Orthodox,182.88,193.04,32,24
Ryan Bader,Rafael Feijao,6/14/2014,Red,FALSE,Light Heavyweight,3,3,15.5,0.5,1.5,0,0,0,0,1,0,0,0,0,1,0,0,Orthodox,185.42,185.42,2.538461538,17.92307692,0.461538462,4.384615385,2.076923077,0,0.307692308,1.769230769,4,1,0,0,5,3,1,0,Orthodox,187.96,187.96,34,31
Andrei Arlovski,Brendan Schaub,6/14/2014,Red,FALSE,Heavyweight,3,2.777777778,18.33333333,0.444444444,0.222222222,1.111111111,0.111111111,0.222222222,1.111111111,3,1,0,0,2,3,1,0,Orthodox,193.04,198.12,1.214285714,12.14285714,0.571428571,7.428571429,0.214285714,0,0.357142857,0.142857143,4,5,0,0,1,7,2,0,Orthodox,190.5,195.58,31,35
Ovince Saint Preux,Ryan Jimmo,6/14/2014,Red,FALSE,Light Heavyweight,3,6.6,15.8,0.8,9,0.6,0,0,0.4,2,0,0,0,1,2,0,0,Orthodox,185.42,185.42,2,13,0,3,0.333333333,0,0.333333333,0.333333333,0,0,1,0,0,1,1,0,Southpaw,190.5,203.2,32,31
Daniel Sarafian,Kiichi Kunimoto,6/14/2014,Blue,FALSE,Welterweight,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,5.666666667,14,0.333333333,2.666666667,1.333333333,0,0.333333333,0.333333333,2,0,0,0,0,0,1,0,Orthodox,175.26,185.42,33,31
Valerie Letourneau,Elizabeth Phillips,6/14/2014,Red,FALSE,Women Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,27,31
Yves Jabouin,Mike Easton,6/14/2014,Red,FALSE,Bantamweight,3,13.16666667,21.16666667,0.166666667,17.16666667,0.5,0,0,0.833333333,3,0,1,0,1,1,0,0,Southpaw,167.64,177.8,7.857142857,15.14285714,0.142857143,7.714285714,1,0.571428571,0,0.714285714,3,0,0,3,1,0,0,0,Orthodox,170.18,172.72,30,35
Kajan Johnson,Tae Hyun Bang,6/14/2014,Blue,FALSE,Lightweight,3,4,19,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Switch,175.26,180.34,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,31,30
Roland Delorme,Michinori Tanaka,6/14/2014,Blue,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,8.8,16.8,0.4,3.8,3.4,0.4,1.4,2,2,0,0,0,1,0,2,0,Orthodox,175.26,180.34,23,30
Jason Saggo,Josh Shockley,6/14/2014,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,24,28
Benson Henderson,Rustam Khabilov,6/7/2014,Red,FALSE,Lightweight,5,2,13.66666667,0.333333333,0.333333333,0.333333333,0,0.333333333,2.666666667,0,0,0,0,1,1,0,1,Orthodox,172.72,185.42,19.22222222,29.66666667,0.222222222,13.44444444,1.555555556,0,0.777777778,2.777777778,1,5,0,3,5,0,0,0,Southpaw,175.26,177.8,27,30
Diego Sanchez,Ross Pearson,6/7/2014,Red,FALSE,Lightweight,3,10.27272727,28.36363636,0.272727273,7.090909091,0.272727273,0.090909091,0,0.818181818,4,1,0,0,4,2,0,1,Orthodox,172.72,175.26,8,26.1,0.3,1.9,1.65,0.15,0.9,1.25,7,2,0,2,6,5,0,0,Southpaw,177.8,182.88,29,32
John Dodson,John Moraga,6/7/2014,Red,FALSE,Flyweight,3,10,16.25,0.25,7.5,0.25,0,0.5,0.75,1,1,0,1,0,1,1,0,Orthodox,167.64,167.64,10.8,25,1.2,5.2,0,0,0,0.6,1,2,0,0,1,3,0,0,Orthodox,160.02,167.64,30,29
Rafael Dos Anjos,Jason High,6/7/2014,Red,FALSE,Lightweight,3,1.25,3.25,0,0,3.75,0.5,2.25,1.25,2,0,0,0,1,0,1,0,Southpaw,172.72,180.34,5.071428571,17.42857143,0.214285714,8.428571429,1.571428571,0.071428571,0.642857143,1.857142857,5,0,0,0,6,1,2,0,Southpaw,172.72,177.8,32,29
Yves Edwards,Piotr Hallmann,6/7/2014,Blue,FALSE,Lightweight,3,11.5,36,0,6.5,1,0,0.5,2.5,1,0,0,0,0,0,1,0,Orthodox,175.26,180.34,6.052631579,15.10526316,0.421052632,6.684210526,1.263157895,0.210526316,0.526315789,0.263157895,9,0,0,1,2,5,2,0,Southpaw,175.26,185.42,26,37
Erik Perez,Bryan Caraway,6/7/2014,Blue,FALSE,Bantamweight,3,3.25,22.5,0,2.75,4.75,0,1,2.75,1,0,0,0,0,0,3,0,Orthodox,172.72,172.72,10.2,16,0.6,4.6,1.4,0.2,0.2,2.4,1,0,0,0,1,2,1,0,Orthodox,172.72,172.72,29,24
Yaotzin Meza,Sergio Pettis,6/7/2014,Blue,FALSE,Bantamweight,3,10.5,45,0,9.5,2.5,0.5,1.5,1.5,1,0,0,0,1,0,0,0,Orthodox,167.64,175.26,2.666666667,1.333333333,0,2,1,0.666666667,1.333333333,0.666666667,2,0,0,0,0,0,1,0,Orthodox,175.26,187.96,20,33
Bobby Voelker,Lance Benoist,6/7/2014,Blue,FALSE,Welterweight,3,17,29.66666667,0.333333333,8.333333333,1.666666667,0.333333333,0,1.333333333,2,0,0,0,1,0,0,0,Southpaw,180.34,185.42,8,34.66666667,0,8.666666667,0.333333333,0,0,1.333333333,3,0,0,0,0,0,0,0,Orthodox,182.88,190.5,25,35
Scott Jorgensen,Danny Martinez,6/7/2014,Red,FALSE,Flyweight,3,13,18,0,2,0,0,0,5,1,0,0,0,0,0,0,0,Orthodox,167.64,170.18,5.625,25,0,6.875,0.75,0.25,0.25,1,5,0,0,0,1,1,1,0,Orthodox,165.1,167.64,28,31
Jon Tuck,Jake Lindsey,6/7/2014,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,180.34,180.34,11.5,29.5,0,10.5,2.5,0.5,1,0,1,0,0,0,1,0,0,0,Orthodox,180.34,185.42,27,29
Patrick Cummins,Roger Narvaez,6/7/2014,Red,FALSE,Light Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,190.5,200.66,1,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,193.04,30,33
Stipe Miocic,Fabio Maldonado,5/31/2014,Red,FALSE,Heavyweight,5,30,54.42857143,0.142857143,0.428571429,0.714285714,0.142857143,0.714285714,0.428571429,3,0,0,1,2,1,0,0,Orthodox,185.42,190.5,6.333333333,39,0.166666667,8.833333333,1.833333333,0,0,1.5,1,0,0,0,3,2,0,0,Orthodox,193.04,203.2,34,31
Vitor Miranda,Antonio Carlos Junior,5/31/2014,Blue,TRUE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,187.96,200.66,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,24,35
Marcio Alexandre Junior,Warlley Alves,5/31/2014,Blue,TRUE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,23,25
Demian Maia,Alexander Yakovlev,5/31/2014,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,190.5,187.96,4.055555556,14.5,0,1.888888889,2.5,0.166666667,0.944444444,2.277777778,6,1,0,0,5,1,6,0,Southpaw,185.42,182.88,29,36
Rony Jason,Robert Peralta,5/31/2014,Blue,FALSE,Featherweight,3,11.8,17.6,0.8,16,0.4,0,0,0.6,2,0,0,0,1,2,0,0,Orthodox,172.72,180.34,5.6,11.4,0.2,1.6,0,0,0.4,0.2,1,1,0,0,1,2,1,0,Orthodox,170.18,177.8,28,30
Rodrigo Damm,Rashid Magomedov,5/31/2014,Blue,FALSE,Lightweight,3,24,8,0,14,2,0,1,0,0,0,0,0,1,0,0,0,Orthodox,175.26,177.8,6.25,36,0,9,0.25,0,0.5,0.75,1,0,0,1,1,0,1,0,Orthodox,170.18,180.34,29,34
Elias Silverio,Ernest Chavez,5/31/2014,Red,FALSE,Lightweight,3,6,13,0,9,5,0,0,2,0,0,0,1,0,0,0,0,Orthodox,172.72,177.8,22.5,35,0.5,7.5,4,0,0,2.5,0,0,0,0,2,0,0,0,Orthodox,180.34,185.42,30,27
Paulo Thiago,Gasan Umalatov,5/31/2014,Blue,FALSE,Welterweight,3,14,12,0,8,1,0,0,2,1,0,0,0,0,0,0,0,Orthodox,180.34,180.34,3.909090909,9.818181818,0.363636364,2.272727273,1.727272727,0.181818182,1.090909091,1.181818182,6,0,0,0,3,1,1,0,Orthodox,180.34,185.42,31,33
Kevin Souza,Mark Eddiva,5/31/2014,Red,FALSE,Featherweight,3,11,22,0,16,0,0,0,4,0,0,0,0,1,0,0,0,Orthodox,172.72,172.72,18,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Orthodox,182.88,187.96,28,29
Ricardo Abreu,Wagner Silva,5/31/2014,Red,FALSE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,180.34,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,27,30
Marcos Rogerio de Lima,Richardson Moreira,5/31/2014,Red,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,30,28
Pedro Munhoz,Matt Hobar,5/31/2014,Red,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,12,6,0,15,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,167.64,165.1,27,27
Mark Munoz,Gegard Mousasi,5/31/2014,Blue,FALSE,Middleweight,5,5.5,40.5,0,12,0,0.5,0,0,1,0,0,0,1,0,0,0,Orthodox,187.96,193.04,9.166666667,16.58333333,0.166666667,3.916666667,0.75,0.25,0.416666667,1.583333333,4,0,0,1,3,4,0,0,Orthodox,182.88,182.88,28,36
Francis Carmont,CB Dollaway,5/31/2014,Blue,FALSE,Middleweight,3,4.615384615,13.69230769,0.076923077,1.615384615,1.923076923,0.307692308,0.692307692,2,5,1,0,1,3,2,2,0,Orthodox,187.96,193.04,7,15.42857143,0.142857143,2.857142857,3.714285714,0.285714286,0.571428571,1.714285714,1,0,0,1,3,0,2,0,Orthodox,190.5,198.12,30,32
Luke Barnatt,Sean Strickland,5/31/2014,Blue,FALSE,Middleweight,3,2,17,0,1,3,0,1,1,0,0,0,0,0,0,1,0,Orthodox,185.42,193.04,9.666666667,51.66666667,0.666666667,4.333333333,0.666666667,0,0.666666667,0.666666667,0,0,0,0,1,1,1,0,Orthodox,198.12,195.58,23,26
Tom Niinimaki,Niklas Backstrom,5/31/2014,Blue,FALSE,Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,8,7,0,2,5,1,0,4,0,0,0,1,0,0,0,0,Orthodox,175.26,175.26,24,31
Nick Hein,Drew Dober,5/31/2014,Red,FALSE,Lightweight,3,13,34,0,14,0,0,0,0,1,0,0,0,0,0,0,0,Southpaw,172.72,177.8,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,167.64,167.64,25,30
Magnus Cedenblad,Krzysztof Jotko,5/31/2014,Red,FALSE,Middleweight,3,6,8,0,3,1,1,0,1,0,0,0,0,1,0,0,0,Southpaw,185.42,195.58,0.5,6.5,0,0.5,2.5,0.5,1,0,1,0,0,0,0,0,1,0,Orthodox,195.58,200.66,24,32
Vaughan Lee,Iuri Alcantara,5/31/2014,Blue,FALSE,Bantamweight,3,5.571428571,20.57142857,0.142857143,1,3.714285714,0.142857143,0.714285714,1.428571429,3,0,0,1,2,1,0,0,Southpaw,175.26,180.34,12.83333333,17.33333333,0.166666667,7.666666667,0,0,0.666666667,0.666666667,3,0,0,0,2,0,1,0,Orthodox,167.64,167.64,33,31
Peter Sobotta,Pawel Pawlak,5/31/2014,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,4,12.66666667,0,5.666666667,0.333333333,0.333333333,0.666666667,1,3,0,0,0,0,0,0,0,Southpaw,182.88,190.5,25,27
Andy Ogle,Maximo Blanco,5/31/2014,Blue,FALSE,Featherweight,3,6.25,17,0,6.5,0.5,0,0.25,1.5,3,0,0,0,1,0,0,0,Orthodox,172.72,180.34,7,19,0.25,3.75,0.5,0.25,0,1.5,3,0,0,0,1,0,0,0,Orthodox,172.72,175.26,30,25
Viktor Pesta,Ruslan Magomedov,5/31/2014,Blue,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,27,23
Renan Barao,TJ Dillashaw,5/24/2014,Blue,TRUE,Bantamweight,5,6.428571429,27.28571429,0.285714286,7.285714286,2.285714286,0,1.285714286,1.714285714,2,1,0,0,2,2,1,0,Orthodox,167.64,170.18,7.714285714,32.71428571,0.428571429,10,1,0,0.285714286,1.428571429,0,4,0,0,3,2,2,0,Orthodox,167.64,177.8,28,27
Daniel Cormier,Dan Henderson,5/24/2014,Red,FALSE,Light Heavyweight,3,6.416666667,21.5,0.416666667,6,0.833333333,0.25,0.416666667,1.166666667,5,3,0,2,3,2,0,0,Orthodox,180.34,187.96,12.66666667,31,0.333333333,6.666666667,0,0,0,1,0,0,0,0,2,1,0,0,Orthodox,180.34,182.88,43,35
Robbie Lawler,Jake Ellenberger,5/24/2014,Red,FALSE,Welterweight,3,4.181818182,17.09090909,0.727272727,2.545454545,0.454545455,0.272727273,0.272727273,1.727272727,3,0,0,1,2,4,0,1,Orthodox,175.26,180.34,5.272727273,28.09090909,0.545454545,2.272727273,0.818181818,0.181818182,0,1.272727273,4,1,0,1,2,4,0,0,Southpaw,180.34,187.96,29,32
Takeya Mizugaki,Francisco Rivera,5/24/2014,Red,FALSE,Bantamweight,3,5.6,29,0.8,9.4,0.2,0,0.6,0.4,2,0,0,0,1,2,0,0,Orthodox,172.72,172.72,11.375,43,0.25,5.125,1,0,0.125,2,2,0,0,3,2,1,0,0,Orthodox,170.18,172.72,32,30
